time, ACC_X, ACC_Y, ACC_Z, B_X, B_Y, B_Z, EULER_X, EULER_Y, EULER_Z, GYRO_X, GYRO_Y, GYRO_Z
'2021-05-09 23:47:09 765',0.293,0.09,0.929,-0.351,0.289,-0.247,5.19,16.76,130.85,0.094,0.054,0.083
'2021-05-09 23:47:09 725',0.293,0.086,0.932,-0.334,0.283,-0.252,5.06,17.77,130.5,0.064,-0.032,0.03
'2021-05-09 23:47:09 696',0.293,0.087,0.932,-0.344,0.288,-0.247,4.99,17.58,130.4,0.046,0.108,0.029
'2021-05-09 23:47:09 693',0.295,0.086,0.936,-0.339,0.285,-0.249,5.41,17.3,131.71,0.057,-0.098,-0.556
'2021-05-09 23:47:09 658',0.294,0.086,0.933,-0.342,0.282,-0.253,4.96,17.7,130.51,0.034,0.013,-0.029
'2021-05-09 23:47:09 607',0.294,0.086,0.932,-0.342,0.286,-0.253,4.97,17.61,130.46,0.072,0.014,-0.068
'2021-05-09 23:47:09 575',0.292,0.086,0.931,-0.336,0.286,-0.257,5.11,17.77,130.58,0.13,-0.162,-0.012
'2021-05-09 23:47:09 508',0.294,0.086,0.932,-0.341,0.282,-0.252,4.97,17.71,130.44,0.077,-0.044,0.042
'2021-05-09 23:47:09 496',0.294,0.087,0.932,-0.339,0.292,-0.253,5.03,17.39,130.4,0.107,-0.065,0
'2021-05-09 23:47:09 457',0.293,0.086,0.932,-0.341,0.28,-0.25,4.93,17.62,130.35,0.046,-0.02,-0.033
'2021-05-09 23:47:09 438',0.293,0.086,0.933,-0.334,0.28,-0.247,4.89,17.5,130.2,0.044,-0.057,-0.002
'2021-05-09 23:47:09 381',0.294,0.087,0.932,-0.341,0.288,-0.245,4.81,17.23,130.31,0.033,0.07,-0.005
'2021-05-09 23:47:09 346',0.294,0.087,0.932,-0.338,0.292,-0.25,4.99,17.3,130.43,0.122,-0.006,-0.052
'2021-05-09 23:47:09 288',0.293,0.086,0.933,-0.334,0.286,-0.244,4.89,17.4,130.15,0.074,0.015,-0.029
'2021-05-09 23:47:09 275',0.293,0.087,0.932,-0.341,0.286,-0.249,4.92,17.52,130.37,0.008,0.06,0.037
'2021-05-09 23:47:09 231',0.293,0.087,0.932,-0.342,0.292,-0.24,4.8,17.25,130.26,-0.005,0.229,0.064
'2021-05-09 23:47:09 178',0.293,0.086,0.932,-0.334,0.283,-0.252,5.06,17.77,130.5,0.064,-0.032,0.03
'2021-05-09 23:47:09 125',0.293,0.087,0.932,-0.344,0.288,-0.247,4.99,17.58,130.4,0.046,0.108,0.029
'2021-05-09 23:47:09 108',0.294,0.086,0.933,-0.342,0.282,-0.253,4.96,17.7,130.51,0.034,0.013,-0.029
'2021-05-09 23:47:09 055',0.294,0.086,0.932,-0.342,0.286,-0.253,4.97,17.61,130.46,0.072,0.014,-0.068
'2021-05-09 23:47:09 028',0.292,0.086,0.931,-0.336,0.286,-0.257,5.11,17.77,130.58,0.13,-0.162,-0.012
'2021-05-09 23:47:08 979',0.294,0.086,0.932,-0.342,0.286,-0.253,4.97,17.61,130.46,0.072,0.014,-0.068
'2021-05-09 23:47:08 958',0.294,0.086,0.932,-0.341,0.282,-0.252,4.97,17.71,130.44,0.077,-0.044,0.042
'2021-05-09 23:47:08 905',0.293,0.086,0.932,-0.341,0.28,-0.25,4.93,17.62,130.35,0.046,-0.02,-0.033
'2021-05-09 23:47:08 900',0.293,0.086,0.933,-0.334,0.28,-0.247,4.89,17.5,130.2,0.044,-0.057,-0.002
'2021-05-09 23:47:08 896',0.293,0.085,0.933,-0.339,0.291,-0.252,4.77,17.35,130.02,0.123,0.069,0.09
'2021-05-09 23:47:08 829',0.293,0.086,0.932,-0.341,0.28,-0.25,4.93,17.62,130.35,0.046,-0.02,-0.033
'2021-05-09 23:47:08 750',0.293,0.086,0.933,-0.334,0.286,-0.244,4.89,17.4,130.15,0.074,0.015,-0.029
'2021-05-09 23:47:08 746',0.293,0.085,0.932,-0.342,0.291,-0.252,4.7,17.43,130.25,0.058,-0.014,0.097
'2021-05-09 23:47:08 667',0.293,0.085,0.933,-0.334,0.286,-0.252,4.72,17.29,130.29,0.089,-0.002,0.011
'2021-05-09 23:47:08 599',0.294,0.084,0.932,-0.335,0.295,-0.252,4.66,17.23,130.41,0.072,0.023,-0.013
'2021-05-09 23:47:08 517',0.293,0.085,0.933,-0.334,0.288,-0.25,4.69,17.26,130.32,0.088,0.018,0.018
'2021-05-09 23:47:08 477',0.295,0.084,0.935,-0.348,0.291,-0.248,4.74,17.21,130.69,0.121,0.071,0.034
'2021-05-09 23:47:08 449',0.294,0.084,0.933,-0.331,0.288,-0.252,4.67,17.26,130.47,0.012,-0.032,0.035
'2021-05-09 23:47:08 380',0.297,0.084,0.936,-0.334,0.286,-0.252,4.8,17.26,130.91,0.072,0.039,0.01
'2021-05-09 23:47:08 327',0.295,0.083,0.934,-0.342,0.288,-0.252,4.66,17.22,130.69,0.017,0.122,0.094
'2021-05-09 23:47:08 249',0.299,0.083,0.936,-0.336,0.291,-0.249,5.01,17.34,131.09,0.073,-0.037,-0.057
'2021-05-09 23:47:08 230',0.298,0.084,0.936,-0.339,0.3,-0.247,4.83,17.3,130.99,0.013,-0.026,-0.004
'2021-05-09 23:47:08 172',0.274,0.087,0.933,-0.344,0.289,-0.242,4.76,16.43,131.19,0.003,0.091,0.04
'2021-05-09 23:47:08 126',0.272,0.086,0.932,-0.349,0.286,-0.237,4.74,16.54,131.23,0.096,0.008,0.024
'2021-05-09 23:47:08 099',0.3,0.082,0.936,-0.341,0.286,-0.244,5.04,17.29,131.1,0.109,-0.119,0.02
'2021-05-09 23:47:08 022',0.273,0.087,0.934,-0.341,0.292,-0.245,4.82,16.52,131.22,0.083,0.017,-0.035
'2021-05-09 23:47:07 976',0.271,0.086,0.933,-0.346,0.286,-0.242,4.63,16.5,131.13,0.058,0.003,0.067
'2021-05-09 23:47:07 950',0.269,0.086,0.933,-0.341,0.286,-0.249,4.65,16.52,131.29,0.044,0.154,0.106
'2021-05-09 23:47:07 860',0.266,0.085,0.931,-0.349,0.283,-0.247,4.72,17.06,131.52,0.074,0.023,-0.038
'2021-05-09 23:47:07 800',0.269,0.086,0.932,-0.345,0.291,-0.245,4.69,16.74,131.44,0.079,0.11,0.086
'2021-05-09 23:47:07 743',0.288,0.079,0.933,-0.348,0.291,-0.248,4.52,17.44,131.3,0.023,-0.077,-0.057
'2021-05-09 23:47:07 710',0.264,0.085,0.929,-0.351,0.291,-0.24,4.58,17.35,131.37,0.025,-0.039,-0.001
'2021-05-09 23:47:07 647',0.297,0.072,0.931,-0.344,0.288,-0.237,4.52,17.11,130.93,0.071,0.006,0.062
'2021-05-09 23:47:07 593',0.289,0.077,0.931,-0.346,0.283,-0.242,4.55,17.36,131.22,-0.035,-0.203,-0.108
'2021-05-09 23:47:07 550',0.306,0.066,0.929,-0.344,0.285,-0.234,4.65,16.81,130.95,0.07,0.181,0.086
'2021-05-09 23:47:07 497',0.299,0.07,0.931,-0.345,0.282,-0.239,4.55,17.01,130.97,0.054,0.032,0.041
'2021-05-09 23:47:07 453',0.299,0.072,0.925,-0.345,0.294,-0.248,4.43,16.95,131.08,0.182,0.382,-0.243
'2021-05-09 23:47:07 400',0.3,0.067,0.923,-0.345,0.295,-0.234,4.74,16.81,131.01,0.094,0.036,0.067
'2021-05-09 23:47:07 336',0.289,0.081,0.929,-0.345,0.289,-0.245,4.78,17.16,130.8,0.106,0.071,0.044
'2021-05-09 23:47:07 303',0.279,0.085,0.928,-0.345,0.294,-0.25,4.24,17.34,130.84,-0.181,-0.114,-0.077
'2021-05-09 23:47:07 238',0.288,0.082,0.927,-0.336,0.288,-0.247,4.84,17.09,130.86,-0.043,-0.103,0.032
'2021-05-09 23:47:07 186',0.289,0.081,0.929,-0.342,0.291,-0.244,4.74,17.2,130.83,0.032,0.074,0.006
'2021-05-09 23:47:07 131',0.284,0.086,0.93,-0.345,0.283,-0.252,5.43,16.97,131.2,0.045,0.05,0.054
'2021-05-09 23:47:07 088',0.284,0.086,0.93,-0.341,0.286,-0.244,5.36,16.8,131.15,0.097,0.074,0.022
'2021-05-09 23:47:07 027',0.284,0.084,0.929,-0.344,0.286,-0.244,5.63,17.03,131.26,0.14,-0.073,-0.011
'2021-05-09 23:47:06 981',0.284,0.086,0.929,-0.342,0.288,-0.25,5.52,17,131.27,0.064,0.01,0.002
'2021-05-09 23:47:06 928',0.284,0.081,0.926,-0.344,0.291,-0.239,5.39,16.71,131.18,0.96,0.482,-0.098
'2021-05-09 23:47:06 877',0.284,0.083,0.928,-0.349,0.289,-0.247,5.6,16.91,131.25,0.098,-0.052,-0.01
'2021-05-09 23:47:06 858',0.283,0.086,0.931,-0.338,0.294,-0.245,5.03,16.71,130.7,0.088,0.076,0.034
'2021-05-09 23:47:06 857',0.282,0.086,0.932,-0.341,0.289,-0.241,5.06,16.57,130.82,0.079,-0.114,0.078
'2021-05-09 23:47:06 855',0.288,0.089,0.932,-0.336,0.289,-0.25,5.21,16.51,131.24,0.116,0.036,-0.031
'2021-05-09 23:47:06 778',0.281,0.084,0.929,-0.346,0.294,-0.244,4.31,17.27,131.09,-0.241,-0.193,-0.129
'2021-05-09 23:47:06 708',0.282,0.086,0.93,-0.341,0.288,-0.244,5.04,16.78,130.78,0.077,-0.007,0.047
'2021-05-09 23:47:06 707',0.281,0.086,0.931,-0.341,0.288,-0.242,5.06,16.35,130.86,0.038,0.058,0.146
'2021-05-09 23:47:06 705',0.288,0.089,0.931,-0.344,0.291,-0.245,5.18,16.38,131.25,0.067,-0.052,0.038
'2021-05-09 23:47:06 519',0.286,0.088,0.932,-0.348,0.295,-0.245,5.2,16.09,131.31,0.196,0.115,-0.023
'2021-05-09 23:47:06 412',0.275,0.098,0.939,-0.346,0.288,-0.242,5.09,16.24,132.22,-0.208,-0.293,0.025
'2021-05-09 23:47:06 369',0.286,0.088,0.931,-0.344,0.291,-0.247,5.03,16.1,131.27,0.526,0.405,0.091
'2021-05-09 23:47:06 325',0.273,0.096,0.937,-0.349,0.292,-0.247,5.28,15.61,132.25,0.035,0.067,0.03
'2021-05-09 23:47:06 262',0.276,0.096,0.936,-0.346,0.292,-0.24,5.37,15.84,132.2,0.092,-0.015,0.013
'2021-05-09 23:47:06 209',0.264,0.097,0.939,-0.349,0.294,-0.252,5.11,15.71,132.42,0.133,0.016,-0.052
'2021-05-09 23:47:06 175',0.272,0.095,0.938,-0.352,0.291,-0.252,5.31,15.61,132.3,0.099,0.145,0.05
'2021-05-09 23:47:06 112',0.256,0.098,0.943,-0.352,0.285,-0.25,4.82,15.94,132.42,0.075,0.006,0.094
'2021-05-09 23:47:06 059',0.262,0.097,0.941,-0.349,0.289,-0.25,4.97,15.74,132.38,0.097,0.055,-0.006
'2021-05-09 23:47:06 015',0.263,0.092,0.938,-0.345,0.286,-0.245,4.77,16.18,132.53,-0.348,-0.3,0.28
'2021-05-09 23:47:05 962',0.252,0.098,0.944,-0.349,0.286,-0.239,4.74,15.99,132.48,0.034,0.062,0.012
'2021-05-09 23:47:05 908',0.274,0.078,0.938,-0.341,0.288,-0.244,4.51,16.32,132.06,0.106,0.05,0.014
'2021-05-09 23:47:05 865',0.262,0.071,0.94,-0.344,0.289,-0.239,5.35,15.84,132.88,0.5,0.257,-0.117
'2021-05-09 23:47:05 790',0.271,0.077,0.937,-0.337,0.28,-0.241,4.47,16.34,132.19,0.042,-0.013,0.019
'2021-05-09 23:47:05 758',0.273,0.077,0.939,-0.344,0.285,-0.239,4.49,16.39,132.12,0.093,-0.034,0.043
'2021-05-09 23:47:05 693',0.278,0.082,0.937,-0.342,0.283,-0.242,4.58,16.25,132.36,0.111,-0.009,-0.024
'2021-05-09 23:47:05 640',0.27,0.078,0.938,-0.335,0.285,-0.245,4.53,16.35,132.24,0.091,-0.054,0.139
'2021-05-09 23:47:05 596',0.278,0.081,0.938,-0.336,0.28,-0.244,4.55,16.05,132.39,0.041,0.022,0.02
'2021-05-09 23:47:05 543',0.277,0.081,0.937,-0.342,0.283,-0.242,4.51,16.2,132.33,0.073,-0.009,0.018
'2021-05-09 23:47:05 500',0.278,0.081,0.938,-0.341,0.285,-0.241,4.63,16.19,132.59,0.053,-0.03,-0.003
'2021-05-09 23:47:05 446',0.278,0.081,0.937,-0.334,0.28,-0.25,4.6,16.02,132.45,0.09,0.126,-0.046
'2021-05-09 23:47:05 384',0.278,0.093,0.938,-0.335,0.28,-0.241,4.64,16.24,131.54,-0.189,0.069,-0.688
'2021-05-09 23:47:05 350',0.278,0.082,0.938,-0.341,0.283,-0.241,4.78,16.13,132.68,0.077,0.021,-0.149
'2021-05-09 23:47:05 286',0.281,0.08,0.938,-0.339,0.292,-0.237,4.53,16.18,130.83,0.171,0.094,0.374
'2021-05-09 23:47:05 234',0.282,0.079,0.938,-0.335,0.277,-0.238,4.6,16.31,130.62,0.09,0.071,0.168
'2021-05-09 23:47:05 179',0.276,0.083,0.937,-0.344,0.285,-0.237,4.64,16.01,132.33,0.102,0.077,0.098
'2021-05-09 23:47:05 136',0.282,0.081,0.937,-0.342,0.286,-0.241,4.53,16.19,131.28,0.13,0.021,0.419
'2021-05-09 23:47:05 093',0.273,0.084,0.937,-0.339,0.282,-0.244,4.42,15.81,132.41,0.015,0.039,0.094
'2021-05-09 23:47:05 029',0.276,0.084,0.937,-0.345,0.286,-0.244,4.61,16.03,132.45,0.103,-0.088,-0.056
'2021-05-09 23:47:04 975',0.269,0.086,0.936,-0.346,0.282,-0.245,4.43,15.7,132.87,0.11,-0.022,0.142
'2021-05-09 23:47:04 943',0.272,0.085,0.937,-0.339,0.282,-0.249,4.49,15.79,132.53,0.096,-0.008,0.05
'2021-05-09 23:47:04 897',0.266,0.085,0.936,-0.344,0.291,-0.24,4.47,15.44,133.97,0.001,-0.168,0.007
'2021-05-09 23:47:04 895',0.191,0.055,0.966,-0.317,0.272,-0.228,5.36,11.84,131.6,0.446,-0.218,0.01
'2021-05-09 23:47:04 894',0.265,0.081,0.937,-0.346,0.285,-0.245,4.69,15.25,134.18,0.181,0.035,-0.416
'2021-05-09 23:47:04 893',0.196,0.067,0.96,-0.325,0.276,-0.23,4.79,12.29,131.57,0.373,0.288,0.067
'2021-05-09 23:47:04 891',0.197,0.066,0.96,-0.318,0.281,-0.225,4.57,12.8,131.36,0.06,0.036,-0.068
'2021-05-09 23:47:04 889',0.249,0.082,0.937,-0.341,0.285,-0.244,4.24,15.12,133.26,0.014,0.041,0.034
'2021-05-09 23:47:04 825',0.267,0.087,0.936,-0.351,0.286,-0.24,4.37,15.61,133.02,0.105,-0.043,0.353
'2021-05-09 23:47:04 747',0.266,0.084,0.936,-0.342,0.291,-0.242,4.57,15.23,134.09,0.053,0.048,0.001
'2021-05-09 23:47:04 745',0.192,0.056,0.964,-0.317,0.284,-0.223,5.08,11.54,131.48,0.32,0.211,0.092
'2021-05-09 23:47:04 744',0.265,0.079,0.936,-0.344,0.283,-0.244,4.37,15.22,133.76,0.024,-0.004,-0.009
'2021-05-09 23:47:04 743',0.197,0.066,0.96,-0.327,0.272,-0.226,4.48,12.64,131.55,0.048,0.052,0.097
'2021-05-09 23:47:04 741',0.197,0.066,0.96,-0.317,0.276,-0.223,4.62,12.92,131.22,0.098,0.12,-0.078
'2021-05-09 23:47:04 739',0.246,0.083,0.937,-0.341,0.279,-0.249,4.3,15.2,133.36,0.045,0.102,0.097
'2021-05-09 23:47:04 468',0.238,0.084,0.935,-0.334,0.274,-0.239,4.39,15.57,133.69,-0.027,-0.143,-0.012
'2021-05-09 23:47:04 371',0.206,0.079,0.946,-0.327,0.267,-0.236,6.3,13.66,133.32,0.174,-0.683,-0.445
'2021-05-09 23:47:04 318',0.23,0.089,0.935,-0.326,0.265,-0.254,4.7,15.56,133.85,-0.911,-1.117,-0.115
'2021-05-09 23:47:04 265',0.191,0.055,0.966,-0.317,0.272,-0.228,5.36,11.84,131.6,0.446,-0.218,0.01
'2021-05-09 23:47:04 221',0.211,0.068,0.949,-0.32,0.27,-0.227,6.17,12.95,132.67,0.216,-0.628,-0.461
'2021-05-09 23:47:04 147',0.196,0.067,0.96,-0.325,0.276,-0.23,4.79,12.29,131.57,0.373,0.288,0.067
'2021-05-09 23:47:04 115',0.192,0.056,0.964,-0.317,0.284,-0.223,5.08,11.54,131.48,0.32,0.211,0.092
'2021-05-09 23:47:04 060',0.197,0.066,0.96,-0.318,0.281,-0.225,4.57,12.8,131.36,0.06,0.036,-0.068
'2021-05-09 23:47:03 997',0.197,0.066,0.96,-0.327,0.272,-0.226,4.48,12.64,131.55,0.048,0.052,0.097
'2021-05-09 23:47:03 983',0.198,0.066,0.959,-0.324,0.282,-0.231,4.68,13.21,130.96,0.09,-0.075,0.007
'2021-05-09 23:47:03 910',0.197,0.066,0.96,-0.317,0.276,-0.223,4.62,12.92,131.22,0.098,0.12,-0.078
'2021-05-09 23:47:03 848',0.198,0.07,0.956,-0.315,0.276,-0.231,5.02,13.25,131.04,0.108,0.01,0.074
'2021-05-09 23:47:03 833',0.198,0.066,0.96,-0.32,0.286,-0.23,4.72,13.21,130.87,0.059,-0.019,0.057
'2021-05-09 23:47:03 777',0.201,0.071,0.956,-0.321,0.276,-0.228,5.17,13.74,130.98,0.078,-0.183,0.097
'2021-05-09 23:47:03 698',0.2,0.071,0.955,-0.321,0.273,-0.23,5.08,13.37,131.1,0.05,0.301,0.004
'2021-05-09 23:47:03 649',0.205,0.074,0.955,-0.32,0.276,-0.225,5.43,13.88,130.97,0.129,0.069,-0.018
'2021-05-09 23:47:03 627',0.203,0.072,0.955,-0.324,0.279,-0.217,5.27,13.63,131,0.057,0.015,0.108
'2021-05-09 23:47:03 585',0.261,0.107,0.927,-0.337,0.264,-0.244,7.31,16.12,131.47,0.021,0.277,0.399
'2021-05-09 23:47:03 582',0.218,0.081,0.956,-0.324,0.279,-0.23,5.55,14.1,130.78,0.074,-0.045,-0.06
'2021-05-09 23:47:03 499',0.291,0.086,0.921,-0.332,0.261,-0.244,8.73,16.08,132.3,0.522,0.069,-0.956
'2021-05-09 23:47:03 499',0.21,0.076,0.958,-0.318,0.278,-0.228,5.45,14.09,130.9,0.079,-0.029,0.007
'2021-05-09 23:47:03 454',0.237,0.091,0.952,-0.331,0.286,-0.228,5.72,14.5,130.27,0.016,0.114,0.054
'2021-05-09 23:47:03 435',0.268,0.072,0.932,-0.338,0.267,-0.246,7.62,16.41,131.98,0.126,-0.368,0.429
'2021-05-09 23:47:03 432',0.227,0.085,0.956,-0.33,0.285,-0.229,5.54,14.14,130.44,0.036,0.058,-0.052
'2021-05-09 23:47:03 349',0.288,0.114,0.924,-0.332,0.266,-0.234,8.17,16.12,131.17,0.613,-0.204,-1.368
'2021-05-09 23:47:03 304',0.243,0.095,0.955,-0.324,0.283,-0.23,5.81,14.61,130.23,0.07,0.042,0.058
'2021-05-09 23:47:03 292',0.302,0.136,0.91,-0.329,0.276,-0.273,6.21,17.46,128.51,0.041,0.112,0.472
'2021-05-09 23:47:03 247',0.264,0.114,0.956,-0.339,0.273,-0.234,6.33,15.07,130.27,-0.048,0.35,-0.01
'2021-05-09 23:47:03 142',0.287,0.145,0.907,-0.326,0.278,-0.273,6.21,17.43,129.02,0.038,-0.253,0.482
'2021-05-09 23:47:03 097',0.269,0.117,0.958,-0.332,0.274,-0.236,6.35,15.34,130.06,-0.05,0.347,-0.062
'2021-05-09 23:46:53 016',0.268,0.054,0.938,-0.315,0.282,-0.259,2.38,14.45,132.38,0.434,-0.294,-0.064
'2021-05-09 23:46:52 925',0.265,0.07,0.939,-0.312,0.28,-0.251,1.66,13.54,132.66,0.067,0.047,0.123
'2021-05-09 23:46:52 866',0.267,0.058,0.938,-0.314,0.282,-0.254,1.88,13.94,132.36,0.113,0.003,0.032
'2021-05-09 23:46:52 822',0.259,0.09,0.941,-0.312,0.274,-0.256,0.87,13.01,132.75,0.023,0.047,-0.055
'2021-05-09 23:46:52 775',0.263,0.076,0.94,-0.311,0.279,-0.251,1.49,13.38,132.84,0.034,0.093,0.026
'2021-05-09 23:46:52 716',0.242,0.018,0.943,-0.299,0.264,-0.264,2.79,11.84,132.8,-0.447,-1.215,-0.089
'2021-05-09 23:46:52 672',0.257,0.099,0.941,-0.312,0.271,-0.262,0.44,12.78,132.58,-0.339,0.043,-0.096
'2021-05-09 23:46:52 613',0.229,0.02,0.957,-0.302,0.273,-0.252,2.31,7.66,131.71,0.953,1.125,0.105
'2021-05-09 23:46:52 566',0.232,0.019,0.932,-0.294,0.262,-0.261,3.63,9.99,132.67,0.527,-1.121,-0.316
'2021-05-09 23:46:52 510',0.248,-0.007,0.977,-0.325,0.288,-0.255,0.48,10.51,133.45,0.032,0.435,0.406
'2021-05-09 23:46:52 463',0.246,0.006,0.989,-0.307,0.274,-0.251,1.28,8.33,131.71,0.436,1.219,0.519
'2021-05-09 23:46:52 373',0.203,0.004,0.948,-0.322,0.283,-0.268,1.33,11.43,135.31,0.08,0.047,0.251
'2021-05-09 23:46:52 360',0.218,0.021,0.963,-0.322,0.287,-0.27,0.98,10.38,134.01,-0.018,0.485,0.174
'2021-05-09 23:46:52 298',0.148,-0.019,0.959,-0.319,0.286,-0.246,2.19,11.45,136.25,0.115,-1.425,-1.181
'2021-05-09 23:46:52 223',0.19,-0.002,0.951,-0.315,0.286,-0.268,1.65,11.49,135.83,0.032,-0.034,0.592
'2021-05-09 23:46:52 205',0.163,-0.005,0.968,-0.324,0.283,-0.234,0.55,7.6,135.19,-0.017,0.195,-0.566
'2021-05-09 23:46:52 148',0.178,0.023,0.954,-0.322,0.283,-0.233,2.3,10.02,134.98,0.606,-1.417,0.179
'2021-05-09 23:46:52 072',0.11,-0.013,0.97,-0.317,0.298,-0.223,1.72,6.39,134.29,1.278,-0.284,0.245
'2021-05-09 23:46:52 055',0.154,-0.047,0.962,-0.321,0.288,-0.226,0.63,7.55,134.44,-0.562,-0.255,0.081
'2021-05-09 23:46:52 022',0.109,-0.047,0.979,-0.317,0.307,-0.215,-0.57,5.1,135.41,0.114,-0.218,0.008
'2021-05-09 23:46:51 922',0.102,-0.02,0.98,-0.313,0.304,-0.22,0.52,5.97,134.57,0.98,-0.338,0.482
'2021-05-09 23:46:51 896',0.067,-0.017,0.993,-0.316,0.307,-0.215,-0.1,4.69,135.33,0.432,0.128,-0.384
'2021-05-09 23:46:51 872',0.108,-0.033,0.978,-0.317,0.301,-0.215,-0.33,4.67,135.5,0.178,0,-0.053
'2021-05-09 23:46:51 803',0.014,0.006,1.01,-0.307,0.306,-0.221,-1.68,4.61,135.62,-0.552,-0.857,0.364
'2021-05-09 23:46:51 746',0.047,-0.019,0.98,-0.304,0.315,-0.217,-0.46,4.91,134.91,0.478,-0.499,0.18
'2021-05-09 23:46:51 657',0.101,0.093,1.019,-0.323,0.282,-0.214,0.19,4.71,137.02,-0.886,0.046,0.191
'2021-05-09 23:46:51 653',0.125,0.061,0.99,-0.324,0.298,-0.221,-1,3.98,136.18,-0.737,0.454,0.614
'2021-05-09 23:46:51 587',0.087,0.149,1.014,-0.339,0.28,-0.229,2.13,3.63,138.38,-0.473,1.049,-0.144
'2021-05-09 23:46:51 507',0.117,0.11,1.015,-0.33,0.284,-0.221,0.89,4.61,137.19,-1.002,0.103,0.13
'2021-05-09 23:46:51 451',0.079,0.043,0.927,-0.329,0.27,-0.249,5.09,7.19,135.5,-0.43,-0.162,0.004
'2021-05-09 23:46:51 437',0.121,0.065,0.904,-0.335,0.27,-0.239,4.11,6.84,137.04,-0.214,0.184,-0.524
'2021-05-09 23:46:51 349',0.076,0.062,0.931,-0.303,0.291,-0.239,3.91,3.19,134,0.643,-0.323,0.453
'2021-05-09 23:46:51 301',0.08,0.042,0.928,-0.315,0.282,-0.246,6,7.18,135.49,1.137,-1.81,-0.714
'2021-05-09 23:46:51 246',0.086,0.043,0.98,-0.318,0.294,-0.239,2.55,3.65,135.85,-0.139,0.94,0.405
'2021-05-09 23:46:51 199',0.061,0.069,0.967,-0.308,0.294,-0.236,3.26,2.54,134.5,0.274,0.31,0.561
'2021-05-09 23:46:51 156',0.112,0.126,0.965,-0.328,0.277,-0.241,5.75,5.98,137.41,-0.434,0.105,0.272
'2021-05-09 23:46:51 096',0.094,0.059,0.976,-0.32,0.283,-0.234,2.94,4.68,136.49,-0.55,0.785,0.156
'2021-05-09 23:46:51 065',0.099,0.183,0.963,-0.32,0.267,-0.235,6.14,5.61,137.36,-0.201,0.164,-0.367
'2021-05-09 23:46:51 022',0.058,0.159,0.98,-0.311,0.263,-0.244,7.31,7.01,135.6,-0.27,-0.277,-0.552
'2021-05-09 23:46:51 019',0.072,0.118,0.979,-0.307,0.255,-0.253,8.6,6.93,132.73,-0.138,-0.576,0.105
'2021-05-09 23:46:51 017',0.062,0.127,0.975,-0.297,0.252,-0.253,7.98,6.06,131.58,0.339,-0.939,0.478
'2021-05-09 23:46:51 014',0.057,0.131,0.973,-0.274,0.243,-0.264,7.18,3.43,129.06,0.621,0.142,-0.679
'2021-05-09 23:46:51 006',0.105,0.142,0.96,-0.324,0.273,-0.238,6.34,6.06,137.89,-0.015,-0.292,-0.129
'2021-05-09 23:46:50 915',0.084,0.155,0.973,-0.32,0.269,-0.241,5.98,5.84,136.97,-0.647,0.481,-0.576
'2021-05-09 23:46:50 872',0.065,0.152,0.969,-0.308,0.257,-0.249,7.47,7.13,134.93,-0.46,-0.4,-0.711
'2021-05-09 23:46:50 869',0.083,0.134,0.974,-0.302,0.254,-0.249,9.03,6.39,132.62,0.471,-0.264,-0.184
'2021-05-09 23:46:50 867',0.081,0.124,0.953,-0.287,0.249,-0.253,7.66,4.93,131.75,0.002,-0.913,-0.933
'2021-05-09 23:46:50 864',0.05,0.114,0.991,-0.284,0.25,-0.271,5.65,4.68,127.48,-0.175,0.818,0.962
'2021-05-09 23:46:50 526',0.099,0.121,0.995,-0.3,0.256,-0.259,6.41,6.67,128.81,-0.114,0.891,1.333
'2021-05-09 23:46:50 453',0.139,0.076,1.009,-0.33,0.281,-0.226,6.45,7.37,132.79,1.583,-0.693,2.479
'2021-05-09 23:46:50 376',0.124,0.116,1.011,-0.31,0.26,-0.243,6.72,7.55,130.21,0.212,0.432,1.275
'2021-05-09 23:46:50 358',0.11,0.06,0.976,-0.335,0.272,-0.218,3.3,5.96,133.87,-0.153,0.423,0.095
'2021-05-09 23:46:50 303',0.14,0.058,0.984,-0.335,0.281,-0.217,5.13,6.07,135.51,0.973,-0.071,-0.417
'2021-05-09 23:46:50 223',0.097,0.062,0.974,-0.341,0.276,-0.221,3.55,6.55,133.07,0.476,0.026,0.969
'2021-05-09 23:46:50 208',0.108,0.07,0.969,-0.335,0.269,-0.23,3.45,6.26,133.66,-0.664,0.302,-0.304
'2021-05-09 23:46:50 151',0.098,0.042,0.968,-0.339,0.264,-0.233,4.23,5.45,134.78,-0.965,0.019,0.316
'2021-05-09 23:46:50 073',0.094,0.056,0.977,-0.342,0.279,-0.225,3.03,6.43,133.84,0.23,-0.394,0.996
'2021-05-09 23:46:50 046',0.098,0.056,0.967,-0.34,0.278,-0.225,4.95,5.79,134.6,0.265,-0.416,0.067
'2021-05-09 23:46:50 001',0.096,0.074,0.962,-0.341,0.273,-0.233,5.67,5.24,134.88,0.433,0.56,0.001
'2021-05-09 23:46:49 952',0.094,0.039,0.972,-0.341,0.3,-0.211,2.12,5.06,136.14,0.143,-0.257,0.108
'2021-05-09 23:46:49 896',0.094,0.045,0.975,-0.34,0.288,-0.215,4.8,5.11,134.37,0.77,-0.084,0.429
'2021-05-09 23:46:49 839',0.1,0.042,0.967,-0.345,0.294,-0.213,2.23,5.04,136.06,-0.007,0.219,0.131
